modelo,accuracy,precision,recall,f1_score,roc_auc,accuracy_media,precision_media,recall_media,f1_score_medio,roc_auc_medio,desvio_recall,diferenca_recall
Regressão Logística,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.9736263736263737,0.9771428571428572,0.9529411764705882,0.9640480895915677,0.9957688338493291,0.03989605872426629,0.024369747899159577
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116,0.964835164835165,0.9640949238933111,0.9411764705882353,0.9519447457150247,0.9889060887512899,0.04159451654038516,0.012605042016806678
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201,0.964835164835165,0.9875,0.9176470588235294,0.9510417318999409,0.9871001031991744,0.03429971702850178,0.012885154061624604
Árvore de Decisão,0.9210526315789473,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.9447751322751322,0.9076923076923077,0.8943151597106972,0.8529411764705882,0.8717384366681996,0.8874613003095974,0.08524339262464374,0.019607843137254832
