variavel,importancia_media,desvio_padrao
texture_worst,0.06031746031746028,0.027308969101722647
concavity_worst,0.04523809523809518,0.026334380988947723
symmetry_worst,0.03809523809523804,0.020015111449076972
concave points_worst,0.036507936507936455,0.02105793517685968
concave points_mean,0.019841269841269795,0.018527964333220213
radius_worst,0.018253968253968203,0.020093633176463725
texture_se,0.017460317460317402,0.012192294837886645
perimeter_worst,0.01666666666666661,0.01755027332340948
concavity_mean,0.015079365079365033,0.014395521545410324
area_worst,0.015079365079365026,0.018931524510915156
smoothness_worst,0.009523809523809493,0.013185117242727067
area_mean,0.009523809523809487,0.013185117242727066
perimeter_mean,0.0087301587301587,0.011473676424445165
radius_mean,0.0087301587301587,0.011473676424445165
symmetry_mean,0.006349206349206327,0.010528967588429803
concave points_se,0.0023809523809523725,0.007142857142857117
texture_mean,0.0023809523809523725,0.007142857142857117
area_se,0.0015873015873015743,0.01052896758842982
smoothness_mean,0.0007936507936507908,0.004273940323122607
perimeter_se,0.0007936507936507798,0.01147367642444519
fractal_dimension_mean,0.0,0.0
smoothness_se,0.0,0.0
fractal_dimension_worst,0.0,0.0
concavity_se,0.0,0.0
compactness_worst,-7.401486830834377e-18,0.00869400884928834
radius_se,-0.0007936507936508167,0.016817158809854817
compactness_se,-0.0007936507936508241,0.02257375024337759
compactness_mean,-0.007142857142857158,0.01395110780257694
symmetry_se,-0.00793650793650796,0.016647759494764304
fractal_dimension_se,-0.010317460317460336,0.014655702629063006
