modelo,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116
Regressão Logística,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201
Árvore de Decisão,0.9210526315789473,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.9447751322751322
