modelo,accuracy_media,precision_media,recall_media,f1_score_medio,roc_auc_medio,desvio_recall
Regressão Logística,0.9736263736263737,0.9771428571428572,0.9529411764705882,0.9640480895915677,0.9957688338493291,0.03989605872426629
Random Forest,0.964835164835165,0.9640949238933111,0.9411764705882353,0.9519447457150247,0.9889060887512899,0.04159451654038516
KNN,0.964835164835165,0.9875,0.9176470588235294,0.9510417318999409,0.9871001031991744,0.03429971702850178
Árvore de Decisão,0.9076923076923077,0.8943151597106972,0.8529411764705882,0.8717384366681996,0.8874613003095974,0.08524339262464374
